p1,p2,p3,p4,p5,p6,i1,i2,i3,i4,i5,i6
カイオーガ,サンダー電,ナットレイ,ポリゴン２,ウーラオス悪,ドラパルト,こだわりメガネ,ゴツゴツメット,ヨプのみ,しんかのきせき,こだわりスカーフ,こだわりハチマキ
ザシアン,サンダー電,マンムー,ドラパルト,ウーラオス悪,メタモン,くちたけん,アッキのみ,きあいのタスキ,じゃくてんほけん,とつげきチョッキ,こだわりスカーフ
ムゲンダイナ,テッカグヤ,ランドロス霊,アシレーヌ,ウーラオス悪,ゴチルゼル,りゅうのキバ,ゴツゴツメット,こだわりスカーフ,とつげきチョッキ,きあいのタスキ,たべのこし
ザシアン,サンダー電,マンムー,ウーラオス悪,ポリゴン２,ヒードラン,くちたけん,ゴツゴツメット,きあいのタスキ,こだわりスカーフ,しんかのきせき,ふうせん
ザシアン,ドヒドイデ,ランドロス霊,カプ・テテフ,ウーラオス悪,ポリゴン２,くちたけん,くろいヘドロ,オボンのみ,とつげきチョッキ,きあいのタスキ,しんかのきせき
ヒヒダルマ氷,ザシアン,サンダー電,ランドロス霊,ウーラオス悪,ポリゴン２,こだわりスカーフ,くちたけん,ゴツゴツメット,こだわりハチマキ,きあいのタスキ,しんかのきせき
ムゲンダイナ,ヒードラン,ロトム水,マンムー,ウーラオス悪,メタグロス,くろいヘドロ,パワフルハーブ,とつげきチョッキ,きあいのタスキ,こだわりスカーフ,ゴツゴツメット
カバルドン,ザシアン,サンダー電,ウーラオス悪,ゴリランダー,ヤドキング毒超,オボンのみ,くちたけん,アッキのみ,きあいのタスキ,ラムのみ,とつげきチョッキ
ムゲンダイナ,ランドロス霊,ウーラオス悪,カプ・レヒレ,ナットレイ,キュウコン氷妖,パワフルハーブ,ゴツゴツメット,こだわりスカーフ,こだわりメガネ,とつげきチョッキ,きあいのタスキ
カバルドン,ザシアン,ドラパルト,ウーラオス悪,ウルガモス,スイクン,オボンのみ,くちたけん,たべのこし,きあいのタスキ,いのちのたま,カゴのみ
ザシアン,ランドロス霊,ヤドキング毒超,ウーラオス悪,キュウコン氷妖,ミロカロス,くちたけん,ゴツゴツメット,とつげきチョッキ,こだわりスカーフ,きあいのタスキ,かえんだま
ムゲンダイナ,ランドロス霊,カミツルギ,スイクン,マンムー,ウーラオス悪,りゅうのキバ,ゴツゴツメット,こだわりスカーフ,カゴのみ,いのちのたま,とつげきチョッキ
カバルドン,ザシアン,サンダー電,ポリゴン２,ウーラオス悪,ウオノラゴン,オボンのみ,くちたけん,アッキのみ,しんかのきせき,こだわりスカーフ,こだわりハチマキ
ロトム水,ウインディ,ピクシー,ヤドキング毒超,ウーラオス悪,ドラパルト,カゴのみ,オボンのみ,たべのこし,とつげきチョッキ,こだわりスカーフ,だっしゅつパック
カイリュー,ウツロイド,ウーラオス悪,ジバコイル,ウオノラゴン,カミツルギ,じゃくてんほけん,パワフルハーブ,こだわりハチマキ,とつげきチョッキ,こだわりスカーフ,きあいのタスキ
サンダー電,ウーラオス悪,ポリゴン２,ドヒドイデ,ランドロス霊,ミミッキュ,いのちのたま,きあいのタスキ,しんかのきせき,くろいヘドロ,とつげきチョッキ,アッキのみ
グソクムシャ,ドリュウズ,サンダー電,アーゴヨン,ウーラオス悪,ポリゴン２,ゴツゴツメット,たべのこし,こだわりメガネ,だっしゅつパック,こだわりハチマキ,しんかのきせき
ゴリランダー,ウーラオス悪,レジエレキ,カプ・レヒレ,ランドロス霊,ヒードラン,こだわりハチマキ,きあいのタスキ,こだわりメガネ,たべのこし,いのちのたま,とつげきチョッキ
カイリュー,カプ・テテフ,サンダー電,ウーラオス悪,ミミッキュ,ドサイドン,いのちのたま,こだわりスカーフ,じゃくてんほけん,こだわりハチマキ,アッキのみ,きあいのタスキ
カプ・レヒレ,ランドロス霊,サンダー電,ウーラオス悪,キュウコン氷妖,ジバコイル,こうこうのしっぽ,いのちのたま,タラプのみ,こだわりスカーフ,きあいのタスキ,じゃくてんほけん
ラグラージ,サンダー電,ミミッキュ,カイリュー,ウーラオス悪,ヤドキング毒超,イバンのみ,いのちのたま,アッキのみ,こだわりハチマキ,きあいのタスキ,とつげきチョッキ
ラッキー,ドヒドイデ,カバルドン,ファイヤー炎,ドラパルト,ウーラオス悪,しんかのきせき,くろいヘドロ,たべのこし,あつぞこブーツ,いのちのたま,こだわりハチマキ
ストリンダー高,エースバーン,ゴリランダー,カイリュー,ウーラオス悪,ユクシー,きあいのタスキ,チイラのみ,こだわりハチマキ,じゃくてんほけん,いのちのたま,オボンのみ
カバルドン,ウツロイド,ナットレイ,ウーラオス悪,サンダー電,ドラパルト,ゴツゴツメット,パワフルハーブ,たべのこし,こだわりハチマキ,じゃくてんほけん,とつげきチョッキ
サンダー電,カビゴン,ヒヒダルマ氷,ウーラオス悪,ゴリランダー,ゴチルゼル,いのちのたま,イバンのみ,こだわりスカーフ,きあいのタスキ,こだわりハチマキ,たべのこし
ドラパルト,ランドロス霊,ウーラオス悪,カプ・レヒレ,ウツロイド,テッカグヤ,じゃくてんほけん,オボンのみ,きあいのタスキ,こうこうのしっぽ,パワフルハーブ,いのちのたま
サンダー電,ウーラオス悪,キュウコン氷妖,ランドロス霊,ナットレイ,ミミッキュ,いのちのたま,きあいのタスキ,ひかりのねんど,オボンのみ,たべのこし,アッキのみ
ウーラオス悪,ミミッキュ,カプ・レヒレ,ランドロス霊,テッカグヤ,エースバーン,こだわりハチマキ,アッキのみ,こだわりスカーフ,オボンのみ,いのちのたま,きあいのタスキ
エースバーン,ナマコブシ,ピクシー,ウーラオス悪,ポリゴン２,メタグロス,たつじんのおび,ゴツゴツメット,たべのこし,こだわりハチマキ,しんかのきせき,じゃくてんほけん
ドラパルト,サンダー電,ウーラオス悪,ミミッキュ,カプ・レヒレ,ポリゴン２,とつげきチョッキ,するどいくちばし,こだわりハチマキ,いのちのたま,ゴツゴツメット,しんかのきせき
ランドロス霊,ウーラオス悪,ウオノラゴン,ウツロイド,サンダー電,カプ・レヒレ,オボンのみ,こだわりハチマキ,こだわりスカーフ,パワフルハーブ,ゴツゴツメット,たべのこし
ブリザポス,サンダー電,ウーラオス悪,ポリゴン２,ゴリランダー,カプ・コケコ,じゃくてんほけん,オボンのみ,きあいのタスキ,しんかのきせき,いのちのたま,こだわりメガネ
カバルドン,ウツロイド,サンダー電,ウーラオス悪,エースバーン,ミミッキュ,オボンのみ,パワフルハーブ,するどいくちばし,きあいのタスキ,ピントレンズ,のろいのおふだ
カバルドン,ウツロイド,ナットレイ,サンダー電,ウーラオス悪,ウオノラゴン,ゴツゴツメット,くろいヘドロ,たべのこし,フィラのみ,こだわりハチマキ,こだわりスカーフ
ウツロイド,ランドロス霊,サンダー電,ウーラオス悪,ドラパルト,ウオノラゴン,パワフルハーブ,オボンのみ,ゴツゴツメット,こだわりハチマキ,いのちのたま,こだわりスカーフ
ウーラオス悪,ランドロス霊,ギルガルド,ウオノラゴン,ウツロイド,サンダー電,こだわりハチマキ,オボンのみ,たべのこし,こだわりスカーフ,パワフルハーブ,ゴツゴツメット
ドラパルト,カバルドン,ウツロイド,ナットレイ,ウーラオス悪,サンダー電,とつげきチョッキ,ゴツゴツメット,パワフルハーブ,たべのこし,こだわりハチマキ,じゃくてんほけん
サンダー電,ウーラオス悪,ポリゴン２,ドヒドイデ,ランドロス霊,ヒードラン,タラプのみ,こだわりハチマキ,しんかのきせき,くろいヘドロ,オボンのみ,たべのこし
カイリュー,ウーラオス悪,ポリゴン２,カプ・レヒレ,ヒードラン,ミミッキュ,こだわりハチマキ,きあいのタスキ,しんかのきせき,たべのこし,いのちのたま,アッキのみ
ヌオー,ピクシー,ドータクン,ブリザポス,ウーラオス悪,カプ・コケコ,オボンのみ,アッキのみ,たべのこし,イバンのみ,こだわりスカーフ,ひかりのねんど
カバルドン,ウツロイド,サンダー電,ミミッキュ,ゴリランダー,ウーラオス悪,アッキのみ,パワフルハーブ,いのちのたま,ゴツゴツメット,こだわりハチマキ,きあいのタスキ
ガブリアス,ウツロイド,カプ・レヒレ,ヒードラン,サンダー電,ウーラオス悪,いのちのたま,パワフルハーブ,たべのこし,じゃくてんほけん,オボンのみ,こだわりスカーフ
カメックス,ミミッキュ,マンムー,サンダー電,ウーラオス悪,エースバーン,いのちのたま,のろいのおふだ,きあいのタスキ,ゴツゴツメット,こだわりハチマキ,こだわりスカーフ
ガブリアス,サンダー電,ウーラオス悪,ミミッキュ,カプ・レヒレ,ポリゴン２,こだわりスカーフ,いのちのたま,きあいのタスキ,アッキのみ,たべのこし,しんかのきせき
エースバーン,サンダー電,ウーラオス悪,ランドロス霊,カプ・レヒレ,ポリゴン２,いのちのたま,オボンのみ,こだわりハチマキ,とつげきチョッキ,こだわりスカーフ,しんかのきせき
ドータクン,ポリゴン２,ヌオー,カイリュー,カプ・レヒレ,ウーラオス悪,たべのこし,しんかのきせき,オボンのみ,ラムのみ,こだわりメガネ,こだわりハチマキ
カイリュー,テッカグヤ,カプ・レヒレ,ゴチルゼル,ドサイドン,ウーラオス悪,じゃくてんほけん,パワフルハーブ,こうこうのしっぽ,カゴのみ,とつげきチョッキ,こだわりハチマキ
ウオノラゴン,ウーラオス悪,サンダー電,ランドロス霊,カプ・レヒレ,ポリゴン２,こだわりスカーフ,こだわりハチマキ,オボンのみ,とつげきチョッキ,たべのこし,しんかのきせき
ウーラオス悪,ナットレイ,ウツロイド,サンダー電,モジャンボ,カバルドン,メトロノーム,たべのこし,パワフルハーブ,タラプのみ,オボンのみ,アッキのみ
ラグラージ,カイリュー,ポリゴン２,ウオノラゴン,ミミッキュ,ウーラオス悪,たべのこし,いのちのたま,しんかのきせき,こだわりハチマキ,アッキのみ,きあいのタスキ
カイリュー,ウーラオス悪,ミミッキュ,ポリゴン２,カプ・レヒレ,サンダー電,こだわりハチマキ,きあいのタスキ,いのちのたま,しんかのきせき,こだわりスカーフ,オボンのみ
アーゴヨン,ポリゴン２,カバルドン,カミツルギ,カイリュー,ウーラオス悪,いのちのたま,しんかのきせき,オボンのみ,ノーマルジュエル,こだわりハチマキ,きあいのタスキ
ポリゴン２,パッチラゴン,ミミッキュ,ヒヒダルマ氷,ウーラオス悪,ラプラス,しんかのきせき,いのちのたま,アッキのみ,こだわりハチマキ,きあいのタスキ,たべのこし
ブリザポス,ポリゴン２,サンダー電,ウーラオス悪,ゴリランダー,カプ・コケコ,じゃくてんほけん,しんかのきせき,あつぞこブーツ,きあいのタスキ,いのちのたま,オボンのみ
カプ・コケコ,ポリゴン２,エースバーン,アーゴヨン,ランドロス霊,ウーラオス悪,こだわりメガネ,しんかのきせき,いのちのたま,こだわりスカーフ,オボンのみ,きあいのタスキ
カバルドン,エースバーン,ラプラス,サンダー電,ウーラオス悪,ミミッキュ,オボンのみ,いのちのたま,たべのこし,ゴツゴツメット,きあいのタスキ,アッキのみ
ポリゴン２,ランドロス霊,エースバーン,ドヒドイデ,ウーラオス悪,サンダー電,しんかのきせき,いのちのたま,きあいのタスキ,くろいヘドロ,こだわりハチマキ,フィラのみ
エースバーン,サンダー電,カバルドン,カプ・レヒレ,ミミッキュ,ウーラオス悪,いのちのたま,するどいくちばし,オボンのみ,こだわりスカーフ,アッキのみ,きあいのタスキ
クレセリア,テッカグヤ,ウツロイド,カイリュー,ウーラオス悪,ラプラス,アッキのみ,いのちのたま,きあいのタスキ,こだわりハチマキ,こだわりスカーフ,カゴのみ
サンダー電,ウオノラゴン,ポリゴン２,ドヒドイデ,ガブリアス,ウーラオス悪,いのちのたま,こだわりスカーフ,しんかのきせき,くろいヘドロ,ラムのみ,こだわりハチマキ
ミミッキュ,カバルドン,ボルトロス霊,ウーラオス悪,エースバーン,ポリゴン２,アッキのみ,オボンのみ,いのちのたま,こだわりハチマキ,きあいのタスキ,しんかのきせき
オンバーン,カプ・レヒレ,ドサイドン,ウーラオス悪,ウオノラゴン,ジバコイル,だっしゅつパック,たべのこし,じゃくてんほけん,きあいのタスキ,こだわりスカーフ,とつげきチョッキ
ドータクン,ポリゴン２,ヌオー,カイリュー,カプ・レヒレ,ウーラオス悪,たべのこし,しんかのきせき,オボンのみ,ラムのみ,こだわりメガネ,こだわりハチマキ
ドラパルト,サンダー電,ウーラオス悪,ランドロス霊,ウツロイド,ウオノラゴン,ゴツゴツメット,いのちのたま,きあいのタスキ,オボンのみ,パワフルハーブ,こだわりスカーフ
ウーラオス悪,ポリゴン２,ドヒドイデ,ミミッキュ,カイリュー,バシャーモ,きあいのタスキ,しんかのきせき,くろいヘドロ,いのちのたま,こだわりハチマキ,バコウのみ
バシャーモ,ミミッキュ,ポリゴン２,サンダー電,ウオノラゴン,ウーラオス悪,バコウのみ,いのちのたま,しんかのきせき,ゴツゴツメット,こだわりスカーフ,こだわりハチマキ
カイリュー,ウーラオス悪,テッカグヤ,ミミッキュ,ガマゲロゲ,スイクン,タラプのみ,きあいのタスキ,パワフルハーブ,アッキのみ,たべのこし,とつげきチョッキ
アーゴヨン,カプ・レヒレ,ドサイドン,テッカグヤ,ジバコイル,ウーラオス悪,こだわりスカーフ,こだわりメガネ,イバンのみ,たべのこし,とつげきチョッキ,こだわりハチマキ
エースバーン,サンダー電,ウーラオス悪,ランドロス霊,カプ・レヒレ,ポリゴン２,いのちのたま,オボンのみ,こだわりハチマキ,とつげきチョッキ,こだわりスカーフ,しんかのきせき
サンダー電,ランドロス霊,ウーラオス悪,ドヒドイデ,ポリゴン２,ピクシー,タラプのみ,オボンのみ,こだわりハチマキ,くろいヘドロ,しんかのきせき,たべのこし
ムゲンダイナ,ラッキー,ヌオー,ヌケニン,エースバーン,ウーラオス悪,こだわりスカーフ,しんかのきせき,オボンのみ,きあいのタスキ,いのちのたま,こだわりハチマキ
カイオーガ,ナットレイ,サンダー電,カイリュー,エースバーン,ウーラオス悪,オボンのみ,ヨプのみ,こだわりスカーフ,たつじんのおび,いのちのたま,きあいのタスキ
バドレックス白,カプ・レヒレ,ナットレイ,ウーラオス悪,カイリュー,シャンデラ,イバンのみ,まんぷくおこう,たべのこし,きあいのタスキ,いのちのたま,オボンのみ
バドレックス黒,マリルリ,エースバーン,カバルドン,カイリュー,ウーラオス悪,のろいのおふだ,とつげきチョッキ,いのちのたま,オボンのみ,こだわりハチマキ,きあいのタスキ
ラグラージ,バドレックス黒,ウーラオス悪,トゲキッス,ポリゴン２,ナットレイ,オボンのみ,きあいのタスキ,いのちのたま,ゴツゴツメット,しんかのきせき,たべのこし
ラグラージ,ザシアン,サンダー電,ドラパルト,ラッキー,ウーラオス悪,オボンのみ,くちたけん,ゴツゴツメット,いのちのたま,しんかのきせき,こだわりハチマキ
カイオーガ,サンダー電,ガブリアス,ヒードラン,ミミッキュ,ウーラオス悪,こだわりスカーフ,ゴツゴツメット,とつげきチョッキ,たべのこし,いのちのたま,こだわりハチマキ
ザシアン,サンダー電,ウオノラゴン,ウーラオス悪,ポリゴン２,ランドロス霊,くちたけん,ゴツゴツメット,こだわりスカーフ,いのちのたま,しんかのきせき,とつげきチョッキ
ムゲンダイナ,ミミッキュ,サンダー電,ウーラオス悪,ナットレイ,ウオノラゴン,いのちのたま,のろいのおふだ,ゴツゴツメット,きあいのタスキ,たべのこし,こだわりハチマキ
ザシアン,サンダー電,ウーラオス悪,ポリゴン２,ラプラス,ドサイドン,くちたけん,いのちのたま,きあいのタスキ,しんかのきせき,たべのこし,イバンのみ
ザシアン,サンダー電,ウインディ,ウーラオス悪,ガマゲロゲ,ヒヒダルマ氷,くちたけん,いのちのたま,だっしゅつパック,きあいのタスキ,たべのこし,こだわりハチマキ
ザシアン,ランドロス霊,パッチラゴン,ウーラオス悪,ポリゴン２,ミロカロス,くちたけん,ゴツゴツメット,とつげきチョッキ,こだわりスカーフ,しんかのきせき,かえんだま
カバルドン,サンダー電,ザシアン,ズガドーン,ウーラオス悪,ウオノラゴン,オボンのみ,いのちのたま,くちたけん,こだわりスカーフ,きあいのタスキ,こだわりハチマキ
ザシアン,ラグラージ,ミミッキュ,ウーラオス悪,ロトム水,ヒヒダルマ氷,くちたけん,オボンのみ,いのちのたま,きあいのタスキ,とつげきチョッキ,こだわりハチマキ
ザシアン,ラプラス,サンダー電,ウーラオス悪,ハピナス,ヌオー,くちたけん,ひかりのねんど,いのちのたま,こだわりハチマキ,ばんのうがさ,たべのこし
ネクロズマ日,サンダー電,マンムー,ミミッキュ,ウーラオス悪,マリルリ,じゃくてんほけん,ゴツゴツメット,きあいのタスキ,いのちのたま,こだわりスカーフ,とつげきチョッキ
バドレックス白,ガオガエン,カプ・コケコ,ランドロス霊,ウーラオス悪,ミミッキュ,こだわりスカーフ,たべのこし,じしゃく,いのちのたま,きあいのタスキ,ゴツゴツメット
ムゲンダイナ,テッカグヤ,サンダー電,ラッキー,ウーラオス悪,メタモン,パワフルハーブ,じゃくてんほけん,いのちのたま,しんかのきせき,きあいのタスキ,こだわりスカーフ
サンダー電,ザシアン,ウーラオス悪,ラプラス,バンギラス,ヌオー,ゴツゴツメット,くちたけん,こだわりハチマキ,ひかりのねんど,きあいのタスキ,たべのこし
ウオノラゴン,ラグラージ,ラプラス,ウーラオス悪,ロトム炎,ザシアン,こだわりハチマキ,オボンのみ,ひかりのねんど,きあいのタスキ,カゴのみ,くちたけん
ゼルネアス,クレッフィ,ウーラオス悪,エースバーン,ランドロス霊,ラティアス,パワフルハーブ,ひかりのねんど,きあいのタスキ,いのちのたま,ラムのみ,タラプのみ
レシラム,サンダー電,ポリゴン２,ウオノラゴン,ウーラオス悪,ミミッキュ,とつげきチョッキ,ゴツゴツメット,しんかのきせき,こだわりスカーフ,こだわりハチマキ,いのちのたま
バドレックス黒,カバルドン,ドリュウズ,ウーラオス悪,ウオノラゴン,サンダー電,こだわりスカーフ,オボンのみ,とつげきチョッキ,きあいのタスキ,こだわりハチマキ,するどいくちばし
ゼルネアス,クレッフィ,ランクルス,サンダー電,ウーラオス悪,ガブリアス,パワフルハーブ,ひかりのねんど,どくどくだま,いのちのたま,こだわりハチマキ,ラムのみ
バドレックス白,ドヒドイデ,ランドロス霊,ロトム炎,ウーラオス悪,カプ・レヒレ,とつげきチョッキ,くろいヘドロ,こだわりハチマキ,カゴのみ,きあいのタスキ,まんぷくおこう
バドレックス黒,サンダー電,エースバーン,ウーラオス悪,ポリゴン２,トリトドン,こだわりスカーフ,オボンのみ,いのちのたま,こだわりハチマキ,しんかのきせき,たべのこし
ザシアン,ミミッキュ,ウーラオス悪,カバルドン,サンダー電,バシャーモ,くちたけん,いのちのたま,きあいのタスキ,オボンのみ,メトロノーム,ラムのみ
ラプラス,ザシアン,カイリュー,ウーラオス悪,サンダー電,カバルドン,ひかりのねんど,くちたけん,こだわりハチマキ,きあいのタスキ,いのちのたま,オボンのみ
ムゲンダイナ,ラプラス,ヌオー,エースバーン,ウーラオス悪,テッカグヤ,くろいヘドロ,ひかりのねんど,たべのこし,いのちのたま,きあいのタスキ,じゃくてんほけん
バドレックス黒,サンダー電,ヒードラン,ウーラオス悪,ランドロス霊,ブリザポス,こだわりスカーフ,ゴツゴツメット,たべのこし,こだわりハチマキ,いのちのたま,とつげきチョッキ
ザシアン,ポリゴン２,エースバーン,ウーラオス悪,サンダー電,ゴチルゼル,くちたけん,しんかのきせき,いのちのたま,きあいのタスキ,するどいくちばし,カゴのみ
バドレックス黒,サンダー電,ランドロス霊,ナットレイ,バンギラス,ウーラオス悪,こだわりスカーフ,ゴツゴツメット,オボンのみ,フィラのみ,たべのこし,こだわりハチマキ
ウーラオス悪,ロトム水,エースバーン,ムゲンダイナ,ミミッキュ,カビゴン,きあいのタスキ,オボンのみ,こだわりスカーフ,パワフルハーブ,ラムのみ,たべのこし
カイオーガ,ゴリランダー,サンダー電,ドラパルト,ドリュウズ,ウーラオス悪,こだわりスカーフ,こだわりハチマキ,ゴツゴツメット,いのちのたま,とつげきチョッキ,きあいのタスキ
マリルリ,キュレム白,ランドロス霊,ヒードラン,カプ・コケコ,ウーラオス悪,とつげきチョッキ,こだわりスカーフ,ゴツゴツメット,たべのこし,こだわりハチマキ,きあいのタスキ
ザシアン,サンダー電,ウーラオス悪,ドラパルト,ポリゴン２,ラグラージ,くちたけん,ゴツゴツメット,こだわりハチマキ,いのちのたま,しんかのきせき,きあいのタスキ
エースバーン,ウーラオス悪,ザシアン,ラグラージ,サンダー電,ドラパルト,いのちのたま,きあいのタスキ,くちたけん,オボンのみ,するどいくちばし,こだわりスカーフ
ジガルデ,サンダー電,カプ・レヒレ,エースバーン,ウーラオス悪,メタモン,たべのこし,ウイのみ,こだわりメガネ,きあいのタスキ,こだわりハチマキ,こだわりスカーフ
ネクロズマ日,ラグラージ,サンダー電,カイリュー,ウーラオス悪,ミミッキュ,じゃくてんほけん,オボンのみ,するどいくちばし,こだわりハチマキ,きあいのタスキ,いのちのたま
ムゲンダイナ,ロトム水,ウーラオス悪,ランドロス霊,サンダー電,ブリザポス,こだわりスカーフ,カゴのみ,こだわりハチマキ,オボンのみ,ゴツゴツメット,とつげきチョッキ
バドレックス黒,ウーラオス悪,ウオノラゴン,サンダー電,ヒードラン,ミミッキュ,きあいのタスキ,こだわりハチマキ,こだわりスカーフ,ゴツゴツメット,ヨプのみ,いのちのたま
バドレックス黒,サンダー電,マリルリ,ドサイドン,ウーラオス悪,カイリュー,こだわりスカーフ,ゴツゴツメット,とつげきチョッキ,イバンのみ,きあいのタスキ,いのちのたま
コータス,ミミッキュ,イベルタル,ウーラオス悪,ラッキー,ヌオー,こだわりメガネ,いのちのたま,じゃくてんほけん,きあいのタスキ,しんかのきせき,ゴツゴツメット
エースバーン,サンダー電,ムゲンダイナ,ランドロス霊,ウーラオス悪,ミミッキュ,いのちのたま,ゴツゴツメット,こだわりスカーフ,ラムのみ,こだわりハチマキ,タラプのみ
カイオーガ,ウーラオス悪,レジエレキ,サンダー電,ランドロス化,ウオノラゴン,じゃくてんほけん,きあいのタスキ,いのちのたま,ゴツゴツメット,たつじんのおび,こだわりハチマキ
カバルドン,ザシアン,サンダー電,カビゴン,ラプラス,ウーラオス悪,オボンのみ,くちたけん,いのちのたま,イバンのみ,たべのこし,きあいのタスキ
カイオーガ,サンダー電,ナットレイ,ランドロス霊,ミミッキュ,ウーラオス悪,とつげきチョッキ,ゴツゴツメット,たべのこし,オボンのみ,いのちのたま,こだわりハチマキ
ネクロズマ日,サンダー電,ウオノラゴン,ウーラオス悪,ヒヒダルマ氷,カバルドン,ラムのみ,いのちのたま,こだわりハチマキ,きあいのタスキ,こだわりスカーフ,オボンのみ
ザシアン,サンダー電,カバルドン,エースバーン,ウーラオス悪,ラプラス,くちたけん,ゴツゴツメット,オボンのみ,いのちのたま,きあいのタスキ,たべのこし
カイオーガ,サンダー電,ナットレイ,ガブリアス,ウーラオス悪,ミミッキュ,こだわりスカーフ,ゴツゴツメット,たべのこし,きあいのタスキ,こだわりハチマキ,いのちのたま
