p1,p2,p3,p4,p5,p6
ディアルガ,マンムー,ムゲンダイナ,メタモン,ヌオー,ウーラオス悪
ディアルガ,マンムー,ギャラドス,ムゲンダイナ,メタモン,ウーラオス悪
ネクロズマ日,ホウオウ,ラッキー,ミミッキュ,カバルドン,ウーラオス悪
トルネロス化,バスラオ,ソルガレオ,アシレーヌ,キュレム白,ウーラオス悪
ヌメルゴン,ラプラス,ニダンギル,ザシアン,バドレックス黒,ウーラオス悪
ザシアン,バドレックス黒,ランドロス霊,ハピナス,ヌオー,ウーラオス悪
ザシアン,キュレム白,サンダー電,ヌオー,ランドロス霊,ウーラオス悪
ルナアーラ,エースバーン,カイオーガ,ミミッキュ,ゴリランダー,ウーラオス悪
ニダンギル,ザシアン,ラプラス,レジアイス,バドレックス黒,ウーラオス悪
トルネロス化,ディアルガ,ホウオウ,カプ・レヒレ,カイリュー,ウーラオス悪
オーロンゲ,ネクロズマ日,ゼルネアス,サンダー電,ローブシン,ウーラオス悪
オーロンゲ,ネクロズマ日,ゼルネアス,サンダー電,ローブシン,ウーラオス悪
ディアルガ,ザシアン,ランドロス霊,サンダー電,ポリゴン２,ウーラオス悪
オーロンゲ,アーゴヨン,マニューラ,ファイヤー悪,カラマネロ,ウーラオス悪
オーロンゲ,アーゴヨン,マニューラ,ファイヤー悪,カラマネロ,ウーラオス悪
オーロンゲ,アーゴヨン,マニューラ,ファイヤー悪,カラマネロ,ウーラオス悪
ランドロス霊,サンダー電,ザシアン,カイオーガ,ヌオー,ウーラオス悪
ギラティナ,ザシアン,ヌオー,ハピナス,メタモン,ウーラオス悪
バドレックス黒,ブラッキー,ホウオウ,カプ・レヒレ,ランドロス霊,ウーラオス悪
レシラム,メタモン,テッカグヤ,ランドロス霊,カイオーガ,ウーラオス悪
